probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,text_3.stopped,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,text_7.stopped,text_8.started,key_resp.stopped,text_8.stopped,AskColor.stopped,key_resp.keys,key_resp.corr,AskRelated.started,text_2.started,text_2.stopped,text_11.started,key_resp_2.started,text_11.stopped,text_10.started,key_resp_2.stopped,text_10.stopped,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03031069994904101,0.04895530000794679,1.0071192999603227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,草车,0,0,0,3,,,,,0,0,0,2,,,,,3.948055800050497,,,,,1.080058400053531,1.0985194999957457,2.0151959999930114,2.0986489000497386,3.0151284999446943,3.0005932999774814,3.9289875000249594,3.948055800050497,3.1816411999752745,4.016341699985787,3.7500593999866396,3.8483924999600276,3.948055800050497,3.9170619000215083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,盖凳,0,0,0,3,,,,,0,1,1,1,,,,,4.03167359996587,,,,,,,,,,,4.016521899960935,4.03167359996587,,4.099963300046511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,钢士,0,0,0,3,,,,,0,2,2,0,,,,,4.115281800040975,,,,,,,,,,,4.100141600007191,4.115281800040975,,4.185214000055566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,队吞,0,0,0,3,,,,,0,3,3,4,,,,,4.198608299950138,,,,,,,,,,,4.185487800044939,4.198608299950138,,4.266767999972217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,方久,0,0,0,3,,,,,0,4,4,3,,,,,4.28214999998454,,,,,,,,,,,4.26694680005312,4.28214999998454,,4.349662199965678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,方久,0,0,0,3,,,,,,,,,0,0,0,3,4.598492200020701,,,,,,,,,,,4.5891243000514805,4.598492200020701,4.681533299968578,4.666699800058268,,,,,4.349723299965262,4.364849800011143,4.431794399977662,4.448441699962132,4.515044400002807,4.515044400002807,4.598492200020701,4.5837130000581965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,队吞,0,0,0,3,,,,,,,,,0,1,1,4,4.681533299968578,,,,,,,,,,,4.6668768000090495,4.681533299968578,4.765138700022362,4.751765400054865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,钢士,0,0,0,3,,,,,,,,,0,2,2,0,4.765138700022362,,,,,,,,,,,4.752037500031292,4.765138700022362,4.848392099956982,4.833181099966168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
猫咪,小猫, f,0:09,0.0,0:03,六六,j,盖凳,0,0,0,3,,,,,,,,,0,3,3,1,4.848392099956982,,,,,,,,,,,4.83334739995189,4.848392099956982,4.931701399968006,4.917146199964918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,050545,001,2024-12-21_09h11.39.536,AB,2024.1.5,None,2024-12-21 09h12.17.450935 +0800,
