probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,key_resp_3.started,ins.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,text_3.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,AskColor.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,AskRelated.started,text_2.started,text_2.stopped,text_11.started,key_resp_2.started,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,text_7.stopped,text_8.started,key_resp.stopped,text_11.stopped,text_10.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022253099945373833,0.037087999982759356,0.037087999982759356,2.845958999940194,space,2.7868901999900118,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,房叔,0,0,0,329,,,,,0,0,0,4,,,,,5.786742899916135,,,,,,,,,2.864938099985011,2.88576779991854,3.853323399904184,3.887210899963975,4.868937499937601,4.840088799945079,5.777473699999973,5.786742899916135,5.855477700009942,5.604857599944808,5.702988300006837,5.786742899916135,5.771971000009216,5.870293000014499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,钟取,0,0,0,329,,,,,0,1,1,2,,,,,5.870293000014499,,,,,,,,,,,,,,,5.855665099923499,5.870293000014499,5.938698799931444,,,,,5.953492300002836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,棋未,0,0,0,329,,,,,0,2,2,3,,,,,5.953492300002836,,,,,,,,,,,,,,,5.938894099905156,5.953492300002836,6.021848100004718,,,,,6.0365220999810845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,间小,0,0,0,329,,,,,0,3,3,0,,,,,6.0365220999810845,,,,,,,,,,,,,,,6.022064599907026,6.0365220999810845,6.105807299958542,,,,,6.119949399959296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,酒道,0,0,0,329,,,,,0,4,4,1,,,,,6.119949399959296,,,,,,,,,,,,,,,6.106037199962884,6.119949399959296,6.1885990999871865,,,,,6.202937699970789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,钟取,0,0,0,329,,,,,,,,,0,0,0,2,6.45309460000135,,,,,,,,,,,,,,,6.444279299932532,6.45309460000135,6.521581499953754,,,,,6.536717199953273,6.188664399902336,6.202937699970789,6.286740699899383,6.286740699899383,6.369621699908748,6.369621699908748,6.45309460000135,6.438661399995908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,棋未,0,0,0,329,,,,,,,,,0,1,1,3,6.536717199953273,,,,,,,,,,,,,,,6.521788799902424,6.536717199953273,6.604766199947335,,,,,6.619472899939865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,房叔,0,0,0,329,,,,,,,,,0,2,2,4,6.619472899939865,,,,,,,,,,,,,,,6.604935699957423,6.619472899939865,6.688436799915507,,,,,6.702726899995469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
火焰,火焰, f,0:09,0:02,0:06,九九,j,酒道,0,0,0,329,,,,,,,,,0,3,3,1,6.702726899995469,,,,,,,,,,,,,,,6.688618999905884,6.702726899995469,6.772006899933331,,,,,6.786551599972881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,,136434,001,2024-12-23_23h00.21.382,AB,2024.1.5,None,2024-12-23 23h00.54.663031 +0800,
