probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,text_3.stopped,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,AskColor.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,AskRelated.started,text_2.started,text_2.stopped,text_11.started,key_resp_2.started,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,text_7.stopped,text_8.started,key_resp.stopped,text_8.stopped,T2_accuracy_given_T1_correct,text_11.stopped,text_10.started,key_resp_2.stopped,text_10.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02021929994225502,0.03469199989922345,1.0023862000089139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,现跳,0,0,0,146,,,,,0,0,0,2,,,,,3.684175999951549,,,,,1.019267699914053,1.033128899987787,2.001164599903859,2.0340368999168277,3.000729799969122,2.986696399981156,3.6772609999170527,3.684175999951549,3.7679314999841154,3.7534443999174982,3.4862929999362677,3.601130499970168,3.684175999951549,3.670571199967526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,矮重,0,0,0,146,,,,,0,1,1,1,,,,,3.7679314999841154,,,,,,,,,,,3.753643999923952,3.7679314999841154,3.8506948999129236,3.8362356999423355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,马片,0,0,0,146,,,,,0,2,2,3,,,,,3.8506948999129236,,,,,,,,,,,3.8364252999890596,3.8506948999129236,3.9340951999183744,3.9194392999634147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,窗她,0,0,0,146,,,,,0,3,3,4,,,,,3.9340951999183744,,,,,,,,,,,3.919608199968934,3.9340951999183744,4.017654699971899,4.002900499966927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,晓软,0,0,0,146,,,,,0,4,4,0,,,,,4.017654699971899,,,,,,,,,,,4.00307759991847,4.017654699971899,4.100692999898456,4.085828099981882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,现跳,0,0,0,146,,,,,,,,,0,0,0,2,4.350689199985936,,,,,,,,,,,4.3417609999887645,4.350689199985936,4.434379899990745,4.419579499983229,,,,,4.085883899941109,4.100692999898456,4.184566299896687,4.184566299896687,4.267192299943417,4.267192299943417,4.350689199985936,4.335892200004309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,马片,0,0,0,146,,,,,,,,,0,1,1,3,4.434379899990745,,,,,,,,,,,4.419778199982829,4.434379899990745,4.517740599927492,4.503517200006172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,窗她,0,0,0,146,,,,,,,,,0,2,2,4,4.517740599927492,,,,,,,,,,,4.5037567999679595,4.517740599927492,4.600896599935368,4.58582799998112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
貂皮,毛皮, j,0:06,0.0,0:07,一一,j,晓软,0,0,0,146,,,,,,,,,0,3,3,0,4.600896599935368,,,,,,,,,,,4.586022899951786,4.600896599935368,4.683827199973166,4.669114199932665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, j,,,,,,,,,,162477,001,2024-12-21_15h44.24.448,AB,2024.1.5,None,2024-12-21 15h44.32.623364 +0800,
