probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cue.stopped,dis1.started,text_3.started,dis1.stopped,firsTar.started,text_5.started,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_FLK2.started,text_4.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,text_8.started,text_7.stopped,key_resp.stopped,text_8.stopped,AskColor.stopped,key_resp.keys,key_resp.corr,AskRelated.started,text_2.started,text_11.started,key_resp_2.started,text_2.stopped,text_11.stopped,text_10.started,key_resp_2.stopped,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,text_5.stopped,text_FLK2.stopped,text_10.stopped,cueblank.stopped,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013735400047153234,0.04013060010038316,1.0100218000588939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,望具,0,0,0,3,,,,,0,0,0,4,,,,,3.824739500065334,,,,,1.0558415000559762,1.0726905000628904,2.0097588000353426,2.0740243000909686,3.017636900069192,3.7994331000372767,3.5306155000580475,3.806184900109656,3.538671200047247,3.663033700082451,3.697082000086084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,剃气,0,0,0,3,,,,,0,1,1,0,,,,,3.824739500065334,,,,,,,,,,3.8070499000605196,3.824739500065334,3.851052900077775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,笨糖,0,0,0,3,,,,,0,2,2,2,,,,,3.875347000081092,,,,,,,,,,3.852556199999526,3.875347000081092,3.9309008000418544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,作浆,0,0,0,3,,,,,0,3,3,3,,,,,3.95711640000809,,,,,,,,,,3.9314604001119733,3.95711640000809,4.030208700103685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,学黏,0,0,0,3,,,,,0,4,4,1,,,,,4.0574875000165775,,,,,,,,,,4.030718000023626,4.0574875000165775,4.0987513000145555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,剃气,0,0,0,3,,,,,,,,,0,0,0,0,4.390845000045374,,,,,,,,,,4.370231300010346,4.390845000045374,4.431283600046299,,,,4.098908900050446,4.125377700082026,4.2086989000672475,4.225714800064452,4.274648300022818,4.291797700105235,4.347831200109795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,作浆,0,0,0,3,,,,,,,,,0,1,1,3,4.457910900004208,,,,,,,,,,4.431878000032157,4.457910900004208,4.513128700084053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,望具,0,0,0,3,,,,,,,,,0,2,2,4,4.539825100102462,,,,,,,,,,4.513632000074722,4.539825100102462,4.596048500039615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,笨糖,0,0,0,3,,,,,,,,,0,3,3,2,4.60706230008509,,,,,,,,,,4.59650180011522,4.60706230008509,4.678910400019959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
猫咪,小猫, f,0:06,0.0,0:12,三三,f,学黏,0,0,0,3,,,,,,,,,0,4,4,1,4.6911434000357985,,,,,,,,,,4.679263500031084,4.6911434000357985,4.765325400047004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
窗帘,帘幔, f,0:09,0.0,0:03,七七,j,剃气,0,1,1,2,,,,,0,0,0,0,,,,,15.709249300067313,,,,,12.76162490004208,12.774141000001691,13.759996900102124,13.772802200051956,14.762176600052044,15.696758100064471,15.709249300067313,15.780163000104949,15.514776300056837,15.608958200085908,15.681199600105174,,,,,,,,4.7654319000430405,4.774132500053383,5.773359200102277,5.773359200102277,5.773359200102277,7.772776100086048,7.790070400107652,7.790070400107652,8.773221200099215,8.758358600083739,None,0,8.759985900018364,8.773221200099215,9.761712900013663,9.761712900013663,9.791302400059067,11.774437200045213,11.774437200045213,11.774437200045213,12.760949500021525,None,0,猫咪,小猫,None,None,0,0,[],[],学黏,0.083,0.083,0,AB,j, f,15.709249300067313,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
窗帘,帘幔, f,0:09,0.0,0:03,七七,j,望具,0,1,1,2,,,,,0,1,1,4,,,,,15.790621300111525,,,,,,,,,,15.780530100106262,15.790621300111525,15.863052200060338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
窗帘,帘幔, f,0:09,0.0,0:03,七七,j,学黏,0,1,1,2,,,,,0,2,2,1,,,,,15.873426100006327,,,,,,,,,,15.86341650004033,15.873426100006327,15.94557020009961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j, f,,,,,,643771,001,2024-12-21_08h58.58.821,AB,2024.1.5,None,2024-12-21 08h59.16.600436 +0800,
