probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,text_3.stopped,dis1.stopped,firsTar.started,text_5.started,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,text_7.stopped,text_8.started,key_resp.stopped,text_8.stopped,AskColor.stopped,key_resp.keys,key_resp.corr,AskRelated.started,text_2.started,text_2.stopped,text_11.started,key_resp_2.started,text_11.stopped,text_10.started,key_resp_2.stopped,text_10.stopped,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,text_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014728200039826334,0.02954500005580485,1.0169170000590384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,巴糖,0,0,0,215,,,,,0,0,0,2,,,,,3.945971900015138,,,,,1.0532123000593856,1.0787196999881417,2.0127215000102296,2.079744299990125,3.0126622000243515,2.997731300070882,3.935370000079274,3.945971900015138,3.6791707000229508,4.013984900084324,3.747405600035563,3.8630633000284433,3.9306906000711024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,小借,0,0,0,215,,,,,0,1,1,3,,,,,4.029458499979228,,,,,,,,,,,4.014140599989332,4.029458499979228,,4.097649100003764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,行第,0,0,0,215,,,,,0,2,2,0,,,,,4.112744000041857,,,,,,,,,,,4.097816199995577,4.112744000041857,,4.180509899975732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,员尾,0,0,0,215,,,,,0,3,3,1,,,,,4.196321900002658,,,,,,,,,,,4.180668100016192,4.196321900002658,,4.26412110007368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,出亡,0,0,0,215,,,,,0,4,4,4,,,,,4.279553800006397,,,,,,,,,,,4.264276499976404,4.279553800006397,,4.347222400014289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,巴糖,0,0,0,215,,,,,,,,,0,0,0,2,4.596046700025909,,,,,,,,,,,4.585838400060311,4.596046700025909,4.6793814999982715,4.664230499998666,,,,4.347274400060996,4.3625712000066414,4.429439799976535,4.44617000001017,4.512723800027743,4.512723800027743,4.596046700025909,4.5811998000135645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,行第,0,0,0,215,,,,,,,,,0,1,1,0,4.6793814999982715,,,,,,,,,,,4.664393600076437,4.6793814999982715,4.762884000083432,4.747988700051792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,出亡,0,0,0,215,,,,,,,,,0,2,2,4,4.762884000083432,,,,,,,,,,,4.748161300085485,4.762884000083432,4.8462378000840545,4.830903600086458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
书桌,抽屉, j,0:09,0.0,0:06,八八,f,员尾,0,0,0,215,,,,,,,,,0,3,3,1,4.8462378000840545,,,,,,,,,,,4.83106920006685,4.8462378000840545,4.929345200071111,4.91421660000924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, j,,727138,001,2024-12-19_19h08.17.689,AB,2024.1.5,None,2024-12-19 19h08.28.268156 +0800,
