probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,text.stopped,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,text_3.stopped,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,AskColor.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,AskRelated.started,text_2.started,text_11.started,key_resp_2.started,text_2.stopped,text_11.stopped,text_10.started,key_resp_2.stopped,text_10.stopped,AskRelated.stopped,key_resp_2.keys,key_resp_2.corr,T1_stimulus,T2_stimulus,T1_response,T2_response,T1_accuracy,T2_accuracy,T1_RT,T2_RT,T2_accuracy_given_T1_correct,distractors,ISI,stimulus_duration,trial_number,trial_type,oddeven,relatedu,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002409299951978028,0.005599699914455414,1.0224010999081656,1.0005188999930397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,姓败,0,0,0,0,,,,,0,0,0,2,,,,,3.9330028999829665,,,,,,1.0167109000030905,1.0224010999081656,1.9995673999655992,2.032856599893421,2.999598199967295,2.983115099952556,3.921405099914409,3.9330028999829665,4.016338299959898,4.000265399925411,3.733293099910952,3.849639599910006,3.9330028999829665,3.9164189998991787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,蜜缓,0,0,0,0,,,,,0,1,1,4,,,,,4.016338299959898,,,,,,,,,,,,4.0004374999552965,4.016338299959898,4.099454799899831,4.082716599921696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,动加,0,0,0,0,,,,,0,2,2,1,,,,,4.099454799899831,,,,,,,,,,,,4.082886899937876,4.099454799899831,4.182431499939412,4.166420399909839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,痒动,0,0,0,0,,,,,0,3,3,0,,,,,4.182431499939412,,,,,,,,,,,,4.166589199914597,4.182431499939412,4.266187299974263,4.2498728999635205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,头酒,0,0,0,0,,,,,0,4,4,3,,,,,4.266187299974263,,,,,,,,,,,,4.250047199893743,4.266187299974263,4.349374599987641,4.333179699955508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,蜜缓,0,0,0,0,,,,,,,,,0,0,0,4,4.599619699991308,,,,,,,,,,,,4.587847099988721,4.599619699991308,4.682922799955122,4.666464299894869,,,,,4.333232399891131,4.349374599987641,4.432858199928887,4.432858199928887,4.515787399956025,4.515787399956025,4.599619699991308,4.583082699915394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,痒动,0,0,0,0,,,,,,,,,0,1,1,0,4.682922799955122,,,,,,,,,,,,4.666650499915704,4.682922799955122,4.765948099899106,4.759743299917318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,头酒,0,0,0,0,,,,,,,,,0,2,2,3,4.765948099899106,,,,,,,,,,,,4.759929099935107,4.765948099899106,4.8497959999367595,4.833176099928096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,姓败,0,0,0,0,,,,,,,,,0,3,3,2,4.8497959999367595,,,,,,,,,,,,4.833360099932179,4.8497959999367595,4.932834799983539,4.916503599961288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
手部,脚部, f,0:09,0:02,0:12,二二,f,动加,0,0,0,0,,,,,,,,,0,4,4,1,4.932834799983539,,,,,,,,,,,,4.916698999935761,4.932834799983539,5.015801399946213,4.99982619995717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f, f,,,772013,001,2024-12-21_09h29.00.856,AB,2024.1.5,None,2024-12-21 09h29.46.343574 +0800,
