probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,key_resp_3.started,ins.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,text_3.stopped,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_4.stopped,text_FLK2.started,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_6.stopped,text_7.started,key_resp.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002086400054395199,0.004957100027240813,0.004957100027240813,3.8960164000745863,space,3.8876819000579417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,新单,0,0,0,7,,,,,0,0,0,3,,,,,6.592445100075565,,,,,,,,,3.912115800078027,3.9195653999922797,4.909068400040269,4.925366400042549,5.9089500000700355,5.8926855000900105,6.582038599997759,6.592445100075565,6.675688700051978,6.659176500048488,6.3926683000754565,6.508746100007556,6.592445100075565,6.575882900040597,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,利子,0,0,0,7,,,,,0,1,1,0,,,,,6.675688700051978,,,,,,,,,,,,,,,6.659403100027703,6.675688700051978,6.758548500016332,6.7427137000486255,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,重老,0,0,0,7,,,,,0,2,2,4,,,,,6.758548500016332,,,,,,,,,,,,,,,6.742881300044246,6.758548500016332,6.842306000064127,6.825876699993387,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,凳试,0,0,0,7,,,,,0,3,3,1,,,,,6.842306000064127,,,,,,,,,,,,,,,6.826046700007282,6.842306000064127,,6.909072400070727,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,黄九,0,0,0,7,,,,,0,4,4,2,,,,,6.925494100083597,,,,,,,,,,,,,,,6.909255600068718,6.925494100083597,,6.992302700062282,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,重老,0,0,0,7,,,,,,,,,0,0,0,4,7.242127800011076,,,,,,,,,,,,,,,7.234992200043052,7.242127800011076,7.325588300009258,7.309252700069919,,,,,6.992365000071004,7.008849999983795,7.075306500075385,7.092072100029327,7.158747300039977,7.158747300039977,7.242127800011076,7.226027400000021,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,利子,0,0,0,7,,,,,,,,,0,1,1,0,7.325588300009258,,,,,,,,,,,,,,,7.309522300027311,7.325588300009258,7.408558399998583,7.392535499995574,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,凳试,0,0,0,7,,,,,,,,,0,2,2,1,7.408558399998583,,,,,,,,,,,,,,,7.39275630004704,7.408558399998583,7.492234600009397,7.475580400088802,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,黄九,0,0,0,7,,,,,,,,,0,3,3,2,7.492234600009397,,,,,,,,,,,,,,,7.475769400014542,7.492234600009397,7.575559600023553,7.558929800055921,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
杂草,草根, j,0:06,0:02,0:09,六六,j,新单,0,0,0,7,,,,,,,,,0,4,4,3,7.575559600023553,,,,,,,,,,,,,,,7.5591177000897005,7.575559600023553,7.658826000057161,7.642842200002633,,,,,,,,,,,,,,,,,,929254,001,2024-12-23_23h20.24.431,AB,2024.1.5,None,2024-12-23 23h20.33.553161 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.642901899991557,7.658826000057161,8.658557199989446,8.658557199989446,8.658557199989446,,,,,,,,
