probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven,dislist,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,ins.started,text.started,ins.stopped,cue.started,cuesti.started,cueblank.started,cuesti.stopped,cueblank.stopped,cue.stopped,dis1.started,text_3.started,dis1.stopped,firsTar.started,text_5.started,text_5.stopped,firsTar.stopped,text_3.stopped,probe.started,text_FLK1.started,text_4.started,text_FLK1.stopped,text_FLK2.started,text_4.stopped,text_FLK2.stopped,probe.stopped,AskColor.started,text_6.started,text_7.started,key_resp.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012650999939069152,0.027607199968770146,1.0121036999626085,,,,,,,,,,,,,,,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,战片,0,0,0,4,,,,,0,0,0,0,,,,,3.9443481999915093,,,,,1.0317502999678254,1.0430605999426916,2.0107571999542415,2.044322400004603,3.0274800000479445,2.9968627999769524,3.935567299951799,3.9443481999915093,4.012676600017585,3.7628104999894276,3.860953600029461,3.9443481999915093,3.9294141000136733,4.027030500001274,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,石失,0,0,0,4,,,,,0,1,1,3,,,,,4.027030500001274,,,,,,,,,,,4.012861000024714,4.027030500001274,4.096253099967726,,,,,4.110723500023596,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,遢纫,0,0,0,4,,,,,0,2,2,2,,,,,4.110723500023596,,,,,,,,,,,4.096443200018257,4.110723500023596,4.179255399969406,,,,,4.19377509993501,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,缎底,0,0,0,4,,,,,0,3,3,4,,,,,4.19377509993501,,,,,,,,,,,4.179438799968921,4.19377509993501,4.262328900047578,,,,,4.277524800039828,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,耕修,0,0,0,4,,,,,0,4,4,1,,,,,4.277524800039828,,,,,,,,,,,4.262512799934484,4.277524800039828,4.345938300015405,,,,,,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,遢纫,0,0,0,4,,,,,,,,,0,0,0,2,4.5938086999813095,,,,,,,,,,,4.5850132999476045,4.5938086999813095,4.662494499934837,,,,,4.677479799953289,4.345997900003567,4.360610199975781,4.444305600016378,4.444305600016378,4.510537900030613,4.52750870003365,4.5938086999813095,4.579324399936013,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,缎底,0,0,0,4,,,,,,,,,0,1,1,4,4.677479799953289,,,,,,,,,,,4.662694999948144,4.677479799953289,4.745708200032823,,,,,4.760609099990688,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,石失,0,0,0,4,,,,,,,,,0,2,2,3,4.760609099990688,,,,,,,,,,,4.745895799947903,4.760609099990688,4.911932299961336,,,,,,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,战片,0,0,0,4,,,,,,,,,0,3,3,0,4.927678999956697,,,,,,,,,,,4.912156300037168,4.927678999956697,4.9297412999439985,,,,,,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
思考,沉思, f,0:09,0:06,0:09,三三,j,耕修,0,0,0,4,,,,,,,,,0,4,4,1,4.9440135000040755,,,,,,,,,,,4.929975699982606,4.9440135000040755,5.012377699953504,,,,,,,,,,,,,,,,,,,992002,001,2024-12-21_14h36.13.777,AB,2024.1.5,None,2024-12-21 14h36.24.610971 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.012450500042178,5.027231200016104,6.010484199970961,6.010484199970961,6.027310100034811,,,,,,,,
